Clade_1_2	Clade_3	Clade_5_6	Clade_4	Clade_7	Clade_11	Clade_10	Clade_9	Clade_8	Clade_15	Clade_12	Clade_13_14
Zm00001d013524_T009	Phequ.XP_020575053.1	Aco000207.1	Zm00001d005981_T002	ELECO.r07.9BG0696560.1	ELECO.r07.3AG0252090.1	Potri.013G146200.1	LOC_Os06g12280.1-a	Potri.008G010000.2	Aco005607.1	Solyc10g006500.3.1	ELECO.r07.5BG0443660.1
Sevir.9G132550.1	evm.model.AsparagusV1_01.3287	Aco009668.1	Sevir.2G258300.1	ELECO.r07.9AG0672880.1	Zm00001d042514_T001	Potri.019G108900.1	Zm00001d044828_T001	Glyma.18G159500.1	Bradi2g48710.1	Solyc07g064050.3.1	Aco004866.1
Sevir.2G295900.1	Bradi1g29784.1	AT1G06780.2	Sevir.6G122900.1	HORVU.MOREX.r2.5HG0383830.1	VIT_217s0000g04936.1	Aco009444.1	Potri.004G111000.1	Aco016103.1	Dioal.20G053300.1	Zosma03g24770	Solyc02g067060.3.1
ELECO.r07.6AG0528440.1	HORVU.MOREX.r2.7HG0623440.1	AT2G30575.1	ELECO.r07.8AG0625950.1	Potri.016G143966.1	VIT_217s0000g04960.1	ELECO.r07.4AG0302330.1	Glyma.13G050600.1	LOC_Os02g29530.1-a	Dioal.04G097600.1	Dioal.08G153300.1	Solyc02g088630.3.1
LOC_Os06g49810.1-a	Zm00001d014849_T003	Bradi4g14910.4	Aco023140.1	LOC_Os12g02910.1-a	Bradi1g60010.1	evm.model.AsparagusV1_03.2305	KAF3329207.1	Glyma.08G348000.1	Zm00001d043587_T001	evm_27.model.AmTr_v1.0_scaffold00115.11	AT5G15470.1
Zm00001d021287_T005	ELECO.r07.6AG0551370.1	Dioal.13G077500.1	Zm00001d049326_T004	Bradi4g44070.1	Phequ.XP_020591157.1	Dioal.19G050200.1	Glyma.19G038000.1	Dioal.14G101200.1	KAF3328477.1	evm.model.AsparagusV1_03.938	Solyc03g013630.3.1
ELECO.r07.3BG0266120.1	Dioal.01G038500.1	ELECO.r07.9AG0683710.1	Aco029818.1	Zm00001d023301_T002	Zm00001d047273_T001	Glyma.12G201500.1	KAF3329205.1	Potri.002G246500.1	HORVU.MOREX.r2.3HG0237550.1	Glyma.06G266900.1	Phequ.XP_020590114.1
ELECO.r07.3AG0220960.1	LOC_Os06g51160.1-a	ELECO.r07.9BG0709760.1	Aco000854.1	Sevir.7G316600.3	Zm00001d029516_T001	Glyma.13G300700.1	evm.model.AsparagusV1_03.49	AT3G25140.1	LOC_Os01g52710.1-a	Glyma.13G286900.1	Phequ.XP_020593605.1
Zosma06g05150	evm_27.model.AmTr_v1.0_scaffold00007.25	evm_27.model.AmTr_v1.0_scaffold00002.504	Aco003104.1	Dioal.07G095700.1	Dioal.13G012700.1	VIT_212s0059g02110.1	ELECO.r07.2BG0201110.1	VIT_200s0216g00020.1	evm_27.model.AmTr_v1.0_scaffold00068.107	Glyma.12G136100.1	HORVU.MOREX.r2.4HG0330640.1
Aco013140.1	evm.model.AsparagusV1_04.1381	evm.model.AsparagusV1_03.2769	LOC_Os09g30280.1-a	ELECO.r07.5BG0416610.1	KAF3323407.1	ELECO.r07.4BG0333280.1	ELECO.r07.6AG0514620.1	evm.model.AsparagusV1_09.1224	AT3G58790.1	Glyma.12G214700.1	Zm00001d041510_T002
